"distance","lon","lat","ID","pt_id"
1139.69001088913,144.91172384105,-37.8322008240345,1,1
683.524421334029,144.91172384105,-37.8322008240345,1,2
1346.29007593619,144.908295041011,-37.8347448221547,1,3
691.951372475692,144.906290615882,-37.8344741735592,1,4
415.160335507872,144.911692103437,-37.8320296856568,1,5
443.682558714351,144.910748207009,-37.8333714091602,1,6
1150.97336383716,144.91172384105,-37.8322008240345,1,7
635.984610680612,144.911570527324,-37.8293133736859,1,8
936.904361427925,144.911570527324,-37.8293133736859,1,9
382.60121452977,144.904428627276,-37.8342227244751,1,10
1012.8240934905,144.904946109104,-37.8342926100545,1,11
911.76197357655,144.908295041011,-37.8347448221547,1,12
1310.83920217766,144.911570527324,-37.8293133736859,1,13
478.596743556651,144.908295041011,-37.8347448221547,1,14
511.362272637271,144.908295041011,-37.8347448221547,1,15
419.594517496109,144.91019356003,-37.8293128197973,1,16
0.623199695832036,144.911569913374,-37.8304833044654,1,17
716.571697768084,144.910748207009,-37.8333714091602,1,18
1452.60116241412,144.91172384105,-37.8322008240345,1,19
1270.02444672494,144.910748207009,-37.8333714091602,1,20
1262.85342730315,144.908295041011,-37.8347448221547,1,21
660.906680823055,144.911570527324,-37.8293133736859,1,22
30.921352463013,144.904514599047,-37.8336321594616,1,23
289.690307938803,144.908295041011,-37.8347448221547,1,24
649.739285878149,144.910748207009,-37.8333714091602,1,25
28.0849671631396,144.901330005421,-37.8317623550012,1,26
1030.65304542513,144.91172384105,-37.8322008240345,1,27
143.533510189935,144.911570527324,-37.8293133736859,1,28
153.657458165225,144.901223994264,-37.8337898873076,1,29
443.139305925286,144.91172384105,-37.8322008240345,1,30
1237.0060362401,144.911570527324,-37.8293133736859,1,31
1202.31443165335,144.911570527324,-37.8293133736859,1,32
811.453085895713,144.908295041011,-37.8347448221547,1,33
52.3969620889876,144.90874488347,-37.8293122196862,1,34
987.649322424908,144.910748207009,-37.8333714091602,1,35
71.7242288611006,144.905090153227,-37.8315482946922,1,36
216.401552901195,144.91156994991,-37.8304136821355,1,37
74.9058473183853,144.908295041011,-37.8347448221547,1,38
214.790995500184,144.901549871919,-37.8284628516045,1,39
134.537614498539,144.91172384105,-37.8322008240345,1,40
